State_UT,Year,PhD_Male,PhD_Female,PhD_Total,MPhil_Male,MPhil_Female,MPhil_Total,PG_Male,PG_Female,PG_Total,UG_Male,UG_Female,UG_Total,PG_Diploma_Male,PG_Diploma_Female,PG_Diploma_Total,Diploma_Male,Diploma_Female,Diploma_Total,Certificate_Male,Certificate_Female,Certificate_Total,Integrated_Male,Integrated_Female,Integrated_Total,Grand_Total_Male,Grand_Total_Female,Grand_Total
Maharashtra,2019-20,7122.0,4861.0,11983.0,760.0,716.0,1476.0,225266.0,253236.0,478502.0,1866422.0,1526553.0,3392975.0,13295.0,10337.0,23632.0,183077.0,140057.0,323134.0,9835.0,8013.0,17848.0,8085.0,7837.0,15922.0,2313862.0,1951610.0,4265472.0
Manipur,2023-24,1518.0,1621.0,3139.0,4.0,8.0,12.0,6265.0,6584.0,12849.0,45832.0,45060.0,90892.0,339.0,293.0,632.0,1535.0,2792.0,4327.0,51.0,61.0,112.0,264.0,154.0,418.0,55808.0,56573.0,112381.0
Manipur,2022-23,1139.0,1211.0,2350.0,4.0,8.0,12.0,5962.304249929637,6576.591049817056,12538.89529974669,52550.43287362792,50229.88713763017,102780.3200112581,499.0,525.0,1024.0,1476.0,2607.0,4083.0,144.0,74.0,218.0,,,,61774.73712355756,61231.47818744722,123006.2153110048
Manipur,2021-22,725.0,723.0,1448.0,,6.0,6.0,4940.0,5528.0,10468.0,58171.0,54386.0,112557.0,555.0,419.0,974.0,1682.0,2967.0,4649.0,161.0,125.0,286.0,,,,66234.0,64154.0,130388.0
Manipur,2020-21,624.0,569.0,1193.0,0.0,12.0,12.0,4813.0,5649.0,10462.0,61246.0,60261.0,121507.0,396.0,269.0,665.0,1637.0,2607.0,4244.0,200.0,216.0,416.0,0.0,0.0,0.0,68916.0,69583.0,138499.0
Manipur,2019-20,538.0,507.0,1045.0,2.0,10.0,12.0,4689.0,5087.0,9776.0,54042.0,55248.0,109290.0,187.0,90.0,277.0,1383.0,2573.0,3956.0,77.0,105.0,182.0,0.0,0.0,0.0,60918.0,63620.0,124538.0
Meghalaya,2023-24,1112.0,1213.0,2325.0,1.0,,1.0,5926.8125,9542.09375,15468.90625,39272.58806818182,47720.2159090909,86992.80397727272,120.0,109.0,229.0,1279.0,2207.0,3486.0,330.0,338.0,668.0,284.0,361.0,645.0,48325.40056818182,61490.3096590909,109815.71022727272
Meghalaya,2022-23,525.0,534.0,1059.0,0.0,0.0,0.0,6070.575757575758,9701.636363636364,15772.21212121212,36319.90909090909,43550.24242424242,79870.15151515152,122.0,135.0,257.0,1288.0,2288.0,3576.0,458.0,455.0,913.0,234.0,251.0,485.0,45017.48484848485,56914.87878787878,101932.3636363636
Meghalaya,2021-22,458.0,331.0,789.0,1.0,2.0,3.0,5673.0,8432.0,14105.0,35954.0,41489.0,77443.0,280.0,363.0,643.0,988.0,2013.0,3001.0,31.0,55.0,86.0,203.0,180.0,383.0,43588.0,52865.0,96453.0
Meghalaya,2020-21,469.0,364.0,833.0,0.0,0.0,0.0,4039.0,6124.0,10163.0,36840.0,45359.0,82199.0,177.0,129.0,306.0,1334.0,2236.0,3570.0,172.0,214.0,386.0,73.0,54.0,127.0,43104.0,54480.0,97584.0
